id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories
5732;Illuminati Expansion Set 3;"The third expansion to the popular Illuminati game.&#10;&#10;This expansion adds rules and components for 'Brainwashing' and 'Propaganda'. Also new is a gameboard to track the different levels within each Group type if the propaganda rules are used.&#10;&#10;Additional tournament rules are also provided.&#10;&#10;Packaged in a ziplock bag.&#10;&#10;Expands:&#10;&#10;    Illuminati&#10;&#10;&#10;";1985;6.29197;2.3125;3;8;60;12;Card Game, Expansion for Base-game, Political, Science Fiction
5734;Monsters!;"&quot;The Battle Game of Colossal Combat&quot;&#10;&#10;A simple miniatures-style board game where each player takes the role of one giant monster, wreaking havoc on the city and each other.&#10;&#10;Included in the game are a rules book, a book of character sheets, maps and various play aids, including cardboard stand-up monster playing pieces.&#10;&#10;";1990;5.96429;2.0;2;6;60;10;Fantasy, Fighting, Humor, Miniatures, Science Fiction
5735;Dragonriders of Pern: The Book Game;"A picture book game similar to Ace of Aces: Handy Rotary Series.&#10;&#10;Each player has a book that contains many different 1st person perspective views from the back of a dragon flying high above ground. You and your wingmate must destroy 'threads' as they fall without injuring each other. Best of seven threads makes for a good introductory game.&#10;&#10;The rules are split into three different sets: Introductory (basic moves and how to score), Role-playing (adds different dragon types and rider statistics), and Campaign (links multiple flights and awards bonus stats to player characters).&#10;&#10;Book mechanic also featured in:&#10;&#10;     Ace of Aces: Handy Rotary Series&#10;     Bounty Hunter: Shootout at the Saloon&#10;     Star Wars: Starfighter Battle Book&#10;&#10;&#10;";1984;5.45306;1.5;2;2;30;10;Fantasy, Novel-based
5736;Ace of Aces: Balloon Buster;"Part of the Ace of Aces series this game simulates a WWI fighter attempting to shooting down a reconnaissance balloon that is protected by an anti-aircraft gun.  The fighter maneuvers to shoot at the balloon while the anti-aircraft player attempts to shoot him down.&#10;&#10;";1985;6.29251;2.08;2;2;20;10;Aviation / Flight, Wargame, World War I
5737;Domaine;"The king shall return... But before he does, the realm falls into anarchy and chaos. The lords of the kingdom struggle to improve their place and standing. New borders are drawn, and expanded through strength of arms and subtle maneuver. Each duke seeks to establish a claim over the most valuable parts of the kingdom before the king finally returns. In the dark of the Middle Ages, control of the land was the key to wealth and power. Can you control enough territory to become the most prestigious duke before the king&rsquo;s return?&#10;&#10;In Domaine, players form domaines by placing walls on the modular board to enclose territory. Completed domaines can then be expanded, even into your opponents'. Protect domaines by placing knights, which resist expansion.&#10;&#10;Actions are taken by playing cards that have a cost associated with them. Gain money by selling cards and controlling mines. Sold cards can be acquired by other players.&#10;&#10;Players score points based on the quantity and type of terrain enclosed in their domaines, as well as by controlling many mines of a single type. The winner is the first player to cross a specific point threshold or the player with the most points when the card deck runs out.&#10;&#10;";2003;6.98587;2.7068;2;4;60;12;Medieval, Territory Building
5738;NFL Quarterback;"American Football game. Play results are detemined by an arrow on a colorcoded display and holes in the Defense formation card once placed over the Offense Play card.&#10;&#10;";1977;6.4875;1.6667;2;2;60;10;Sports
5739;The Great Dragon Hunt;"The Great Dragon Hunt is a great kids game with lots of gameboard action.&#10;&#10;The players are Knights who must each roam the land to capture 10 different dragons.  At the start of the game each player is dealt one coloured dragon card... that becomes their first target.&#10;&#10;Players spin and move by complete count.  If they land on a dragon space that matches the colour of their dragon, they 'capture' it and draw another card.  If they land, by exact count, on another player, they send him back to his home castle.&#10;&#10;The board contains a number of plastic 'drawbridges' that are either up or down.  They may only be crossed if they are lying flat.  Boats also exist that may allow a move of close to 1/2 of the board.&#10;&#10;";1979;5.46429;1.0;2;4;20;6;Fantasy, Humor
5740;Strat-O-Matic Pro Football;"One of the several statistically-based sports simulations produced by the Strat-O-Matic Game Company.  The game consists of player cards and team defensive cards that accurately reproduce play outcomes and player, team, and league statistics of the National Football League for the season on which the cards are based.  Play progresses with the gamer on offense calling his play (run or pass, where the play is directed, the ball carrier or primary receiver, etc.) and the gamer on defense setting a defensive configuration (blitzes, double coverage of receivers, stacking the line, etc.).  In the cards and dice version, three dice are then rolled, with one die determining whether the play result comes from the offensive or defensive cards and the other two determining the result from the speciifed card.  Play takes place on a game board that resembles a football field, and the gamers keep track of the ball position, the down, and the time remaining in the quarter being played.  Penalties and injuries are part of the game.  Gamers play from the perspective of a head coach and/or general manager.&#10;&#10;The game also comes in a computer version that automatically determines play outcomes and compiles and reports player, team and league statistics.  The computer version grapically portrays the plays using X's and O's to depict player movement.  The computer version also features a sophisticated computer coach that faciltates solitaire play.&#10;&#10;Each year the Strat-O-Matic Game Company issues a new set of player and team cards (or computer disk) based upon the most recent NFL season.  The company also issues from time to time sets of players and teams from past seasons.&#10;&#10;";1968;7.28546;2.8293;1;2;120;11;Sports
5741;Het Groot KLM Spel;"Game sponsored by KLM. There are some other similar games for other European Airlines.&#10;&#10;Players roll and move their planes along airports. In the first round players hgave to fly charterflights. The players only land on the airports named on the card. When they land on a airport they could buy the airport. If another player lands on a airport which is already bought by a player, he/she has to pay landingrights.&#10;Along the game players can sell or auction their own airports when money is needed.&#10;&#10;In the second round players have to fly holiday tours. The players have to land on all the airports they pass. If a 6 is thrown players have to take a surprise ticket and follow the instructions of the card.&#10;&#10;If there is no flightcard left the game ends.The player with the most points wins the games. Points are granted for airports and money.&#10;&#10;";1975;4.5;0.0;2;6;90;8;Economic, Transportation
5742;Escape from Colditz Castle;"This is a different game than Escape from Colditz which was published by various manufacturers.&#10;&#10;Players must collect equipment and then make their way across an abstract representation of the 'Castle', trying to avoid occupied patrol zones along the way. Each player starts the game with four 'prisoners'.&#10;&#10;The first one who gets the three of them to safety wins the game.&#10;&#10;";1972;5.14286;1.6667;2;4;60;8;Adventure, Deduction, Memory, Movies / TV / Radio theme, World War II
5743;Win Place Show;"A horse race game with a difference.&#10;&#10;Each player is dealt 7 horse cards at the start of the game.  Based on the numbers these cards, which affect which horse will move, the player then places up to four bets.  Each bet is worth one chip, and all similar bets go into a common pool. A player plays a card for the horse he wishes to move and rolls  the dice to move the coloured horse played.  This continues until three horses have crossed the finish line. Whoever bet on the winning horse shares in the &quot;win&quot; pool: the second horse, the &quot;place&quot; pool; the third horse, the &quot;show&quot; pool: the first and second horse (in order), the exactor pool and the first second and third horse (in order), the triactor pool.  Any odd chips remain for the next race.&#10;&#10;Because this is a 'closed' system (each player starts with only 10 betting chips), every time someone wins a chip, someone else will be down one.&#10;&#10;The winner is the one who has the most betting chips at the end of 10 races.&#10;&#10;";1978;6.51351;2.0;3;8;60;8;Racing
